Date,Set,LSTM_Probability,Actual
2019-04-26,Train,0.3126817,0
2019-04-27,Train,0.34464476,0
2019-04-28,Train,0.3721036,0
2019-04-29,Train,0.3898497,0
2019-04-30,Train,0.40521204,0
2019-05-01,Train,0.41988784,0
2019-05-02,Train,0.42394525,1
2019-05-03,Train,0.40858245,0
2019-05-04,Train,0.38203636,0
2019-05-05,Train,0.3462003,0
2019-05-06,Train,0.32020903,0
2019-05-07,Train,0.29530656,0
2019-05-08,Train,0.28935063,0
2019-05-09,Train,0.3121846,0
2019-05-10,Train,0.35960737,1
2019-05-11,Train,0.39697397,0
2019-05-12,Train,0.43804732,1
2019-05-13,Train,0.48107022,0
2019-05-14,Train,0.5275749,0
2019-05-15,Train,0.57154924,1
2019-05-16,Train,0.6060598,1
2019-05-17,Train,0.6315861,0
2019-05-18,Train,0.6516229,1
2019-05-19,Train,0.6649296,0
2019-05-20,Train,0.66962826,0
2019-05-21,Train,0.66932386,1
2019-05-22,Train,0.6642234,0
2019-05-23,Train,0.65370965,0
2019-05-24,Train,0.64038825,0
2019-05-25,Train,0.62680346,1
2019-05-26,Train,0.6146475,0
2019-05-27,Train,0.60587555,0
2019-05-28,Train,0.59910774,0
2019-05-29,Train,0.59941363,1
2019-05-30,Train,0.60262924,0
2019-05-31,Train,0.6114263,0
2019-06-01,Train,0.6194855,0
2019-06-02,Train,0.61765337,1
2019-06-03,Train,0.6044539,1
2019-06-04,Train,0.5953902,0
2019-06-05,Train,0.59196293,0
2019-06-06,Train,0.5880201,0
2019-06-07,Train,0.580379,0
2019-06-08,Train,0.5664758,1
2019-06-09,Train,0.5531853,1
2019-06-10,Train,0.541492,0
2019-06-11,Train,0.5297694,0
2019-06-12,Train,0.51704,0
2019-06-13,Train,0.49529567,1
2019-06-14,Train,0.46905595,0
2019-06-15,Train,0.41762337,0
2019-06-16,Train,0.3586797,1
2019-06-17,Train,0.3124425,0
2019-06-18,Train,0.3029711,0
2019-06-19,Train,0.33369878,0
2019-06-20,Train,0.3598437,1
2019-06-21,Train,0.39183065,1
2019-06-22,Train,0.4164249,0
2019-06-23,Train,0.45893812,0
2019-06-24,Train,0.51493186,1
2019-06-25,Train,0.5476854,1
2019-06-26,Train,0.5788227,1
2019-06-27,Train,0.618091,1
2019-06-28,Train,0.65599734,1
2019-06-29,Train,0.67781246,1
2019-06-30,Train,0.6927189,0
2019-07-01,Train,0.7036208,0
2019-07-02,Train,0.70420665,1
2019-07-03,Train,0.70022494,1
