Set,LSTM_Probability,Actual
Train,0.5202061,1
Train,0.5212334,1
Train,0.5216958,1
Train,0.5216347,0
Train,0.5211369,1
Train,0.5199678,0
Train,0.518358,1
Train,0.5161731,1
Train,0.5139019,0
Train,0.5116238,1
Train,0.5095221,0
Train,0.5075819,1
Train,0.50584906,0
Train,0.50434864,1
Train,0.50300694,1
Train,0.50179446,0
Train,0.5007901,1
Train,0.50003254,1
Train,0.4995586,1
Train,0.49944222,0
Train,0.49968362,0
Train,0.5002108,1
Train,0.5008446,0
Train,0.50154144,1
Train,0.5021635,0
Train,0.5026705,1
Train,0.5030573,0
Train,0.5033885,1
Train,0.5035701,0
Train,0.5036346,1
Train,0.50358427,0
Train,0.5035566,1
Train,0.50363517,0
Train,0.5039012,1
Train,0.5044738,0
Train,0.50555146,0
Train,0.5067664,1
Train,0.5076672,0
Train,0.5081245,1
Train,0.5081005,1
Train,0.5076364,0
Train,0.50686574,1
Train,0.505843,1
Train,0.50470084,1
Train,0.5035088,1
Train,0.50234425,0
Train,0.50131416,1
Train,0.50049853,1
Train,0.50002635,1
Train,0.49994072,0
Train,0.500227,0
Train,0.5009887,1
Train,0.5020983,0
Train,0.503495,0
Train,0.50499433,1
Train,0.5061978,0
Train,0.50693256,1
Train,0.507051,0
Train,0.50678056,1
Train,0.50638235,1
Train,0.50602126,0
Train,0.5058706,1
Train,0.50591314,0
Train,0.506307,0
Train,0.50699985,0
Train,0.50775284,0
Train,0.50851166,1
Train,0.50904834,1
Train,0.5094674,0
Train,0.5099242,1
Train,0.5102439,1
Train,0.51048416,1
Train,0.51078546,1
Train,0.5113859,1
Train,0.5122307,1
Train,0.5132716,0
Train,0.51441944,1
Train,0.5154025,1
Train,0.51615787,0
Train,0.51667666,1
Train,0.51680577,1
Train,0.5165672,1
Train,0.5159681,1
Train,0.51521647,1
Train,0.5145134,1
Train,0.5137036,0
Train,0.5128759,1
Train,0.51206815,0
Train,0.5113195,1
Train,0.51058745,1
Train,0.50983167,0
Train,0.5091355,1
Train,0.508355,1
Train,0.5074811,1
Train,0.5066338,0
Train,0.505811,0
Train,0.50502884,1
